bid_no,project_no,notice_date,price_year_decimal,country,region,facility_type,work_type,gross_floor_area_m2,cost_usd_nominal,direct_unit_usd_m2,unit_usd_m2_nominal,evidence_grade,area_basis,cost_stage,scope_caution,normalization_status,recommended_unit_rate,allowed_use,source_period,source_file,source_locator,source_url,evidence_summary
L2021-00031-1,2019-00045,2021-10-22,2021.805479452055,Pakistan,미상,태양광 연구실,신축,2349.2,1839007.0,,782.8226630342244,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2021-00031-1/2. Chapters/Chapter 1. Invitation for Pre-Qualification_1020.docx,표 2 행 7,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00031&P_PBLANC_ODR=1,"총연면적 2,349.20㎡; 상세페이지 집행한도 USD 1,839,007; 산출단가 USD 783/㎡."
L2021-00030-1,2019-00032,2021-10-20,2021.8,Paraguay,미상,항공훈련 격납고,신축,945,892000.0,,943.9153439153439,B,총연면적,공사 입찰 집행한도,동일 사업의 별도 공사 패키지,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2021-00030-1/0 Bidding Guideline for Construction Contractor_Hangar.docx,문단 92,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00030&P_PBLANC_ODR=1,"총연면적 945.00㎡; 상세페이지 집행한도 USD 892,000; 산출단가 USD 944/㎡."
L2021-00029-1,2020-00114,2021-10-11,2021.7753424657535,Nepal,Tanahun·Bhotekoshi,농촌 Outreach Center 2개소,신축,1120.3,929600,,829.7777381058645,A,문서 명시 연면적,입찰 Construction Budget,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2021-00029-1/네팔 ORC시공업체선정 영문 RFP.pdf,페이지 3,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00029&P_PBLANC_ODR=1,"2개소 총 GFA 1,120.30㎡, 공사예산 USD 929,600."
L2021-00016-1,2019-00066,2021-05-11,2021.3561643835617,Cambodia,Ratanakiri·Mondulkiri,모자보건 의료시설(5개소),신축,1325.32,1022588,,771.5781848911961,A,문서 명시 연면적,입찰공고 추정예산,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2021-00016-1/캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 입찰 공고문.pdf,페이지 1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00016&P_PBLANC_ODR=1,"GFA 약 1,325.32㎡, 추정예산 약 USD 1,022,588."
L2021-00015-1,2019-00064,2021-05-10,2021.3534246575343,Cambodia,미상,창업보육센터,신축,2299.26,2746477.0,,1194.5047537033654,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2021-00015-1/1-2 (REV.2_영문본) 입찰공고(인큐베이팅 센터_영문)_최종버젼.docx,문단 18,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00015&P_PBLANC_ODR=1,"총연면적 2,299.26㎡; 상세페이지 집행한도 USD 2,746,477; 산출단가 USD 1,195/㎡."
L2020-00022-2,2015-00006,2020-11-26,2020.9016393442623,Ethiopia,,병원,신축,4916,3116205.0,,633.890358014646,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2020-00022-2/(붙임2) 재공고 입찰 공고문(안)_최종.docx,표 2 행 3,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2020-00022&P_PBLANC_ODR=2,"총연면적 4,916.00㎡; 집행한도 USD 3,116,205; 명목단가 USD 634/㎡."
L2020-00023-1,2016-00005,2020-10-19,2020.7978142076502,Iraq,,병원,신축,6906,16440000.0,,2380.5386620330146,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2020-00023-1/[붙임1] 중환자 병원 입찰계획안.hwp,문단 32,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2020-00023&P_PBLANC_ODR=1,"총연면적 6,906.00㎡; 집행한도 USD 16,440,000; 명목단가 USD 2,381/㎡."
L2020-00009-1,2016-00067,2020-08-05,2020.5928961748634,Myanmar,,농산물 유통·가공센터,신축,7450,3685199.0,,494.6575838926174,B,2개 시설 연면적 합계,공사 입찰 집행한도,농업·산업시설 복합,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2020-00009-1/★(KOICA 2020-02) PQ Document_Establishment of the AMC and APC in Nay Pyi Taw and Kalaw.docx,표 2 행 5,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2020-00009&P_PBLANC_ODR=1,"2개 시설 연면적 합계 7,450.00㎡; 집행한도 USD 3,685,199; 명목단가 USD 495/㎡."
L2020-00001-2,2017-07192,2020-02-07,2020.1010928961748,Cambodia,,이비인후과 병원,신축,4177.94,4080000.0,,976.5578251482789,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2020-00001-2/입찰공고문(최종).docx,문단 19,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2020-00001&P_PBLANC_ODR=2,"총연면적 4,177.94㎡; 집행한도 USD 4,080,000; 명목단가 USD 977/㎡."
L2019-00043-1,2016-00206,2019-10-17,2019.7917808219179,Jordan,,학교,신축,3944.3,2654320.0,,672.9508404533124,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2019-00043-1/입찰공고문_3개 학교사업 자르카 학교 시공사 선정 입찰공고.pdf,페이지 1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00043&P_PBLANC_ODR=1,"총연면적 3,944.30㎡; 집행한도 USD 2,654,320; 명목단가 USD 673/㎡."
L2019-00024-1,2015-00011,2019-06-28,2019.4876712328767,Sri Lanka,,교원교육대학,신축,12974,7300000.0,,562.6637891166949,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2019-00024-1/BIDDING NOTICE.docx,표 2 행 3,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00024&P_PBLANC_ODR=1,"총연면적 12,974.00㎡; 집행한도 USD 7,300,000; 명목단가 USD 563/㎡."
L2019-00021-1,2017-07115,2019-05-15,2019.3671232876711,Uzbekistan,,직업훈련원,신축,5455,5350000.0,,980.7516040329973,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2019-00021-1/KOICA_우즈베키스탄 페르가나 직업훈련원 건립사업 시공업체 현지입찰공고 (국문).pdf,페이지 1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00021&P_PBLANC_ODR=1,"총연면적 5,455.00㎡; 집행한도 USD 5,350,000; 명목단가 USD 981/㎡."
L2019-00011-1,2016-00202,2019-03-07,2019.1780821917807,Laos,,출입국관리청사,신축,5625,5600000.0,,995.5555555555555,A,주동 연면적,공사 입찰 집행한도,부속시설 포함 가능,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2019-00011-1/01 Laos DOI_Bid Announcement Rev00_KOICA_0226.doc,문단 3,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00011&P_PBLANC_ODR=1,"주동 연면적 5,625.00㎡; 집행한도 USD 5,600,000; 명목단가 USD 996/㎡."
L2019-00010-1,2015-00012,2019-02-01,2019.0849315068492,Nepal,,IT 교육동,신축,1549.83,1200000.0,,774.2784692514663,A,총연면적,공사 입찰 집행한도,VAT 제외; 외부공사 등 포함범위 재확인,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2019-00010-1/[붙임] 국문_IT 강의동 시공업체 선정 현지 입찰 계획서.hwp,문단 54,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00010&P_PBLANC_ODR=1,"총연면적 1,549.83㎡; 집행한도 USD 1,200,000; 명목단가 USD 774/㎡."
L2018-00029-1,2013-00007,2018-11-23,2018.8931506849315,Bolivia,,병원,신축,2879.23,4114500.0,,1429.027899820438,A,총연면적,공사 입찰 집행한도,지하층·외부공사 포함,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2018-00029-1/국문 재공고입찰계획서.hwp,문단 51,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00029&P_PBLANC_ODR=1,"총연면적 2,879.23㎡; 집행한도 USD 4,114,500; 명목단가 USD 1,429/㎡."
L2018-00020-1,2016-00206,2018-10-02,2018.7506849315068,Jordan,,학교 2개소,신축,7599,5497600.0,,723.4636136333728,A,2개 학교 연면적 합계,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2018-00020-1/붙임_ (입찰공고) Invitation for Bids_Bid Announcement_Rev3_최종.docx,표 1 행 4,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00020&P_PBLANC_ODR=1,"2개 학교 연면적 합계 7,599.00㎡; 집행한도 USD 5,497,600; 명목단가 USD 723/㎡."
L2018-00014-1,2016-00003,2018-08-14,2018.6164383561643,Paraguay,,노인 장기요양센터,신축,6428,4580780.0,,712.6291225886746,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2018-00014-1/Bidding Guideline_Santo Domingo_180818.docx,문단 44,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00014&P_PBLANC_ODR=1,"총연면적 6,428.00㎡; 집행한도 USD 4,580,780; 명목단가 USD 713/㎡."
L2018-00012-1,2016-20150,2018-08-07,2018.5972602739726,Philippines,,농업복합시설,설계·시공,6615,4486860.0,,678.2857142857143,B,3개 동 연면적 합계,공사 입찰 집행한도,축사·농업시설 포함,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2018-00012-1/Addendum No.1 Scope of Works and Design Instruction (Quirino2).docx,문단 20,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00012&P_PBLANC_ODR=1,"3개 동 연면적 합계 6,615.00㎡; 집행한도 USD 4,486,860; 명목단가 USD 678/㎡."
L2018-00011-1,2016-00002,2018-07-18,2018.5424657534247,Paraguay,,보건시설,신축,1987,1623300.0,,816.9602415702063,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2018-00011-1/림삐오 1차 시공 입찰 안내서 160718_수정 (1).hwp,문단 26,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00011&P_PBLANC_ODR=1,"총연면적 1,987.00㎡; 집행한도 USD 1,623,300; 명목단가 USD 817/㎡."
L2017-00011-1,2014-00024,2017-12-27,2017.986301369863,Turkmenistan,,가스산업 직업훈련원,설계·시공,2250,2550000.0,,1133.3333333333333,B,계획 연면적,공사 입찰 집행한도,설계·시공 일괄입찰,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2017-00011-1/입찰서류_투르크메니스탄 가스직업훈련원 설계시공입찰_영문본/Addendum No.1 Scope of the works_Rev 04.docx,문단 11,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00011&P_PBLANC_ODR=1,"계획 연면적 2,250.00㎡; 집행한도 USD 2,550,000; 명목단가 USD 1,133/㎡."
L2017-00007-1,2016-00028,2017-09-11,2017.6931506849314,Laos,,청소년 IT센터,신축,1562.68,1227580.0,,785.5607034069675,B,본동+연결통로 합계,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2017-00007-1/청년동맹 IT 센터 Bid Announcement (20170911_신문공고).docx,표 1 행 4,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00007&P_PBLANC_ODR=1,"본동+연결통로 합계 1,562.68㎡; 집행한도 USD 1,227,580; 명목단가 USD 786/㎡."
L2017-00005-1,L2017-0004,2017-08-15,2017.6191780821919,Ecuador,,보건센터,신축,2541.35,3572800.0,,1405.866960473764,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2017-00005-1/PUBLICACION INGLES FINAL 14 AGO 2017.docx,표 1 행 3,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00005&P_PBLANC_ODR=1,"총연면적 2,541.35㎡; 집행한도 USD 3,572,800; 명목단가 USD 1,406/㎡."
L2017-00001-1,201701,2017-01-23,2017.0602739726028,Senegal,,고등교육·농업훈련센터,신축,8694,5784000.0,,665.2864044168392,B,2개 시설 연면적 합계,공사 입찰 집행한도,서로 다른 지역의 2개 시설,미보정,아니오,유사사례·현지견적 교차검증,2016-2020 수집분,L2017-00001-1/붙임2_입찰공고문(영문).docx,문단 19,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00001&P_PBLANC_ODR=1,"2개 시설 연면적 합계 8,694.00㎡; 집행한도 USD 5,784,000; 명목단가 USD 665/㎡."
