project_no,country_ko,project_name,notice_count,bid_base_group_count,valid_area_cost_notice_count,valid_bid_nos,all_bid_nos,display_representative_bid,technical_evidence_bid,price_evidence_bid,best_grade,compact_grade,verification_level,scope_status,representative_area_m2,representative_construction_cost_usd,representative_amount_stage,screening_unit_usd_m2,unit_cost_allowed_use,direct_future_estimate_ready,screening_sample_weight,direct_estimate_sample_weight,related_other_package_grade,related_other_package_bid,related_other_package_note,duplicate_and_scope_warning,grade_detail,source_url,grade_system_version,audit_date
2019-00037,엘살바도르,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 감리 용역 현지 입찰 (재공고),5,5,3,L2023-00027-1;L2023-00058-1;L2023-00060-1,L2023-00027-1;L2023-00037-1;L2023-00058-1;L2023-00057-1;L2023-00060-1,L2023-00060-1,,L2023-00060-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,2983.0,3875000.0,NOTICE_EXECUTION_CEILING,1299.0278243379148,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00060&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00111,엘살바도르,엘살바도르 ITCA 공학교육역량 강화사업 시공사 선정 현지 재입찰,4,2,2,L2024-00049-1;L2024-00049-2,L2024-00049-1;L2024-00054-1;L2024-00049-2;L2024-00054-2,L2024-00049-2,,L2024-00049-2,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,788.12,965000.0,NOTICE_EXECUTION_CEILING,1224.4328274881998,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00049&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2014-00031,엘살바도르,"엘살바도르 치안강화를 위한 차량 자동인식시스템 구축사업, CCTV 역량강화센터 2층 리모델링 시공업체 선정",1,1,0,,L2019-00044-1,L2019-00044-1,,L2019-00044-1,U,U,V3_SCOPE_REVIEW,NO_MATCH,,235960.0,NOTICE_EXECUTION_CEILING,,계산 금지,0,0,0,,,,,공사 후보이나 유효 GFA 또는 같은 범위 금액이 없음,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00044&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-00220,엘살바도르,엘살바도르 동부건조지역 수계 복원력증대를 통한 기후변화대응사업('17-'20/800만불) 수자원확보 시행업체(PC) 선정,4,3,0,,L2019-00041-1;L2019-00042-1;L2019-00040-1;L2019-00040-2,L2019-00040-2,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,물품·비건축 또는 GFA 오탐으로 건축공사비 표본 제외,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00040&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-00206,요르단,요르단 시리아 난민 밀집지역 취약계층 아동을 위한 3개 학교 건립사업 자르카 학교 시공사 선정 입찰,4,4,2,L2018-00020-1;L2019-00043-1,L2018-00005-1;L2018-00020-1;L2019-00043-1;L2020-00007-1,L2019-00043-1,,L2019-00043-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,3944.3,2654320.0,NOTICE_EXECUTION_CEILING,672.9508404533124,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00043&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2019-00005,우간다,우간다 지속가능 농촌개발 시범마을 확산사업 옥수수 가공시설 및 여성친화적 시장 건축 공사,2,2,1,L2023-00009-1,L2020-00015-1;L2023-00009-1,L2023-00009-1,,L2023-00009-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,835.67,272603.0,NOTICE_EXECUTION_CEILING,326.20891021575505,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00009&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00042,우간다,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,3,3,2,L2024-00050-1;L2025-00062-1,L2023-00028-1;L2024-00050-1;L2025-00062-1,L2025-00062-1,,L2025-00062-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,2378.8,1123590.0,NOTICE_EXECUTION_CEILING,472.33479065074823,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00062&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00043,우간다,"우간다 주요 채소작물 종자 가치사슬 역량강화사업 Wakiso, Mukono 및 Luwero지역 온실, 토목 및 수도 건축공사",1,1,1,L2023-00011-1,L2023-00011-1,L2023-00011-1,,L2023-00011-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,6456.0,1540000.0,NOTICE_EXECUTION_CEILING,238.53779429987608,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00011&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2022-00064,우간다,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,2,2,1,L2025-00084-1,L2024-00072-1;L2025-00084-1,L2025-00084-1,,L2025-00084-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,4040.0,4383000.0,NOTICE_EXECUTION_CEILING,1084.90099009901,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00084&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00086,우즈베키스탄,우즈베키스탄 우르겐치 직업훈련원 건립 및 타슈켄트 교사연수센터 건립사업 시공업체선정 현지입찰,4,4,3,L2023-00007-1;L2023-00036-1;L2023-00053-1,L2022-00003-1;L2023-00007-1;L2023-00036-1;L2023-00053-1,L2023-00036-1,L2023-00036-1,L2023-00036-1,B,B,V3_ORIGINAL_MANUAL,MATCH,6963.0,5361576.0,NOTICE_EXECUTION_CEILING,770.0094786729858,현지단가 결합 수량모델,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,우르겐치 VTC·TTC 공종별 not-priced BOQ,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00036&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2017-07115,우즈베키스탄,우즈베키스탄 페르가나 직업훈련원 건립 신축공사 시공업체 선정 현지입찰,2,2,1,L2019-00021-1,L2018-00015-1;L2019-00021-1,L2019-00021-1,,L2019-00021-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,5455.0,5350000.0,NOTICE_EXECUTION_CEILING,980.7516040329973,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00021&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00119,이라크,(긴급) 한-이라크 심장병 어린이 전문 병원 신축공사(신규입찰),3,3,3,L2025-00070-1;L2025-00071-1;L2025-00085-1,L2025-00070-1;L2025-00071-1;L2025-00085-1,L2025-00085-1,L2025-00085-1,L2025-00085-1,A-부분,A,V3_ORIGINAL_MANUAL,MATCH,5486.0,13292831.0,NOTICE_EXECUTION_CEILING,2423.0461173897193,검증된 부분 Bill만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,건축 Bill No.01만 숨김 설계단가와 결합; 타 공종 제외,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00085&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2014-00016,이라크,한-이라크 직업훈련원 2차 지원사업 리노베이션 시공업체선정 현지입찰,1,1,1,L2024-00039-1,L2024-00039-1,L2024-00039-1,,L2024-00039-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,8217.0,1811491.0,NOTICE_EXECUTION_CEILING,220.45649263721552,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00039&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-00005,이라크,이라크 중환자 전문병원 신축공사 시공업체 선정 입찰,1,1,1,L2020-00023-1,L2020-00023-1,L2020-00023-1,,L2020-00023-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,6906.0,16029000,BASIC_ESTIMATED_PRICE,2321.0251954821892,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2020-00023&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2023-00087,이라크,“이라크 쿠르드 지역학교 내 난민통합교육 강화사업” 선도학교 및 교사연수센터 신축을 위한 설계 및 시공감리 업체 선정,2,1,0,,L2025-00045-1;L2025-00045-2,L2025-00045-2,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,6000.0,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,B-부분(다른 패키지),L2025-00017-2,자이툰 도서관 BOQ이며 현재 170집합의 학교·연수센터 용역 범위와 다름,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00045&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-20098,인도네시아,인도네시아 경찰청 사이버범죄수사 교육센터 프로젝트 리모델링업체 선정 입찰,2,1,1,L2022-00007-2,L2022-00007-1;L2022-00007-2,L2022-00007-2,,L2022-00007-2,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,1458.0,275400.0,NOTICE_EXECUTION_CEILING,188.88888888888889,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00007&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00087,인도네시아,인도네시아 취약계층 청소년 사회복귀 지원사업 리모델링 시공업체 선정,1,1,1,L2023-00018-1,L2023-00018-1,L2023-00018-1,,L2023-00018-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,6149.0,2355000.0,NOTICE_EXECUTION_CEILING,382.98910391933646,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00018&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2022-00079,인도네시아,인도네시아 사이버보안 훈련센터 신축공사 시공사 선정,1,1,1,L2025-00002-1,L2025-00002-1,L2025-00002-1,,L2025-00002-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,2457.53,2361000.0,NOTICE_EXECUTION_CEILING,960.7207236534243,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00002&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2022-00027,캄보디아,캄보디아 국립어린이병원 내과계 병동건립 및 의료인력역량 강화사업 내과계 병동 신축공사 시공사 선정 입찰,1,1,1,L2025-00073-1,L2025-00073-1,L2025-00073-1,L2025-00073-1,L2025-00073-1,B,B,V3_ORIGINAL_MANUAL,MATCH,9053.0,11277000.0,NOTICE_EXECUTION_CEILING,1245.664420634044,현지단가 결합 수량모델,0,1,0,,,,,국립소아병원 공종별 blank BOQ,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00073&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2011-00008,캄보디아,캄보디아 앙두엉 안과전문병원 설립사업 리모델링 공사,1,1,1,L2023-00068-1,L2023-00068-1,L2023-00068-1,,L2023-00068-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,3500.0,239882.0,NOTICE_EXECUTION_CEILING,68.53771428571429,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00068&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2017-07192,캄보디아,캄보디아 앙두엉 이비인후과(ENT)병원 역량강화사업 시공업체 선정 입찰,2,1,2,L2020-00001-1;L2020-00001-2,L2020-00001-1;L2020-00001-2,L2020-00001-2,,L2020-00001-2,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,4177.94,4080000.0,NOTICE_EXECUTION_CEILING,976.5578251482789,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2020-00001&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2019-00064,캄보디아,캄보디아 산학연계 비즈니스 인큐베이팅 체계 구축사업 시공업체 선정,1,1,1,L2021-00015-1,L2021-00015-1,L2021-00015-1,,L2021-00015-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,2299.26,2746477.0,NOTICE_EXECUTION_CEILING,1194.5047537033654,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00015&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2019-00066,캄보디아,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 현지입찰(3차 신규),4,3,4,L2021-00016-1;L2021-00016-2;L2021-00025-1;L2021-00037-1,L2021-00016-1;L2021-00016-2;L2021-00025-1;L2021-00037-1,L2021-00016-1,,L2021-00016-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,1325.32,1022588.0,ADVERTISED_ESTIMATED_BUDGET,771.5781848911961,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00016&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2024-00015,캄보디아,캄보디아 당까오 후송병원 공공의료서비스 개선사업 병원신축 설계감리용역,1,1,1,L2025-00036-1,L2025-00036-1,L2025-00036-1,,L2025-00036-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH_ATTACHMENT_CONSTRUCTION_BUDGET,3700.0,6600000.0,DESIGN_ESTIMATE,1783.7837837837837,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00036&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2023-00008,캄보디아,캄보디아 직원훈련기관(TVET기관) ICT Lab 리모델링 설계·시공,1,1,0,,L2025-00056-1,L2025-00056-1,,L2025-00056-1,U,U,V3_SCOPE_REVIEW,NO_MATCH,,1343000.0,NOTICE_EXECUTION_CEILING,,계산 금지,0,0,0,,,,,공사 후보이나 유효 GFA 또는 같은 범위 금액이 없음,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00056&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00126,케냐,케냐 카지아도주 보건시스템 강화를 위한 모성 및 신생아 보건 개선사업 설계 및 감리용역,2,2,1,L2025-00008-1,L2024-00035-1;L2025-00008-1,L2025-00008-1,,L2025-00008-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,404.94,555810.0,NOTICE_EXECUTION_CEILING,1372.573714624389,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00008&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2023-00067,코트디부아르,코트디부아르 펠릭스 우푸에 부아니대학교 ICT 교육역량 강화 및 ICT 혁신센터 설립사업 PETROCI 건물 리모델링 공사,4,3,1,L2025-00052-1,L2024-00048-1;L2024-00056-1;L2024-00056-2;L2025-00052-1,L2025-00052-1,,L2025-00052-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,1500.0,1963286.0,NOTICE_EXECUTION_CEILING,1308.8573333333334,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00052&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00104,코트디부아르,[긴급] 코트디부아르 국립직업기술교육원 교사 ICT기반 교수역량강화사업 리모델링 공사,2,1,0,,L2024-00068-1;L2024-00068-2,L2024-00068-2,,L2024-00068-2,U,U,V3_SCOPE_REVIEW,PARTIAL_SCOPE,,440000.0,NOTICE_EXECUTION_CEILING,,계산 금지,0,0,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,면적과 금액 범위가 부분·혼합되어 계산 금지,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00068&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2019-03655,키르기스스탄,키르기스스탄 추이 주 교내 위생환경 개선 사업(프로젝트봉사단) 리모델링 시공업체 선정 현지 입찰,1,1,1,L2025-00099-1,L2025-00099-1,L2025-00099-1,,L2025-00099-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,255.52,200000.0,NOTICE_EXECUTION_CEILING,782.7175954915466,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00099&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2024-00105,키르기스스탄,키르기스스탄 디지털 전환을 위한 국가 정보화 역량 강화 사업 ICT 교육센터 신축공사를 위한 설계 및 저작권감리용역,1,1,1,L2025-00097-1,L2025-00097-1,L2025-00097-1,,L2025-00097-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH_ATTACHMENT_CONSTRUCTION_BUDGET,1179.0,1704050.0,DESIGN_ESTIMATE,1445.3350296861747,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00097&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2019-00015,키르기즈,키르기즈공화국 유기농업 정책이행지원 및 역량강화사업 유기농 로컬푸드마켓 현지 설계 및 감리업체 선정,3,3,2,L2022-00055-1;L2023-00035-1,L2021-00036-1;L2022-00055-1;L2023-00035-1,L2023-00035-1,,L2023-00035-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,1739.82,388511.0,NOTICE_EXECUTION_CEILING,223.30528445471373,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00035&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00099,키르기즈,키르기스스탄 G-cloud 센터 인테리어 리모델링 시공 입찰,1,1,1,L2023-00067-1,L2023-00067-1,L2023-00067-1,,L2023-00067-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,420.0,280621.0,NOTICE_EXECUTION_CEILING,668.1452380952381,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00067&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2023-00030,키르기즈,"키르기즈공화국 가축 품종개량 및 인공수정인력 역량강화사업 연수센터 신축, 바이오센터 리모델링 설계 및 저작권감리용역",1,1,0,,L2024-00041-1,L2024-00041-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,1825.0,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00041&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2014-00024,투르크메니스탄,투르크메니스탄 가스직업훈련원 역량강화사업 설계시공입찰,1,1,1,L2017-00011-1,L2017-00011-1,L2017-00011-1,,L2017-00011-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,2250.0,2550000.0,NOTICE_EXECUTION_CEILING,1133.3333333333333,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00011&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-00002,파라과이,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 의료강화사업/ 보건소 신축 1단계 공사,1,1,1,L2018-00011-1,L2018-00011-1,L2018-00011-1,,L2018-00011-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,1987.0,1623300.0,NOTICE_EXECUTION_CEILING,816.9602415702063,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00011&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-00003,파라과이,파라과이 취약계층 노인 보건의료복지센터 정책수립 지원사업 산토 도밍고 노인 보인의료복지센터 신축 공사 시공자 선정 현지국제입찰,1,1,1,L2018-00014-1,L2018-00014-1,L2018-00014-1,,L2018-00014-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,6428.0,4466261,BASIC_ESTIMATED_PRICE,694.8134723086497,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00014&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2019-00032,파라과이,파라과이 항공 전문인력 역량강화사업 항공훈련센터 현지 시공사 선정 국제경쟁 입찰,4,4,2,L2021-00030-1;L2021-00045-1,L2021-00030-1;L2021-00042-1;L2021-00045-1;L2022-00002-1,L2021-00045-1,,L2021-00045-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,2866.41,2415000.0,NOTICE_EXECUTION_CEILING,842.5172951531707,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00045&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00064,파라과이,파라과이 멀티미디어 교육지원센터 설립을 통한 교육접근성 향상사업(설계 용역 입찰),1,1,0,,L2023-00021-1,L2023-00021-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,1000.0,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00021&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
