bid_base_no,project_no,country_ko,notice_count,bid_nos,representative_bid_no,latest_notice_date,representative_title,best_grade,scope_role,same_scope_status,area_m2,construction_cost_usd,screening_unit_usd_m2,duplicate_rule
L2024-00078,2020-00070,도미니카,1,L2024-00078-1,L2024-00078-1,2024-12-20,도미니카공화국 몬테 크리스티 직업훈련센터 (MVC) 시공사 선정,B-부분,WORKS,MATCH,936.2,1187000.0,1267.8914761803032,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00007,2020-00070,도미니카,2,L2025-00007-1;L2025-00007-2,L2025-00007-2,2025-04-11,도미니카공화국 몬테 크리스티 직업훈련센터 (MVC) 감리사 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,936.2,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00010,2020-00070,도미니카,1,L2025-00010-1,L2025-00010-1,2025-04-30,도미니카공화국 여성 중심 취약계층 사회경제적 역량강화사업 하이나 직업훈련센터 리모델링 설계용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,750.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00038,2020-00070,도미니카,1,L2025-00038-1,L2025-00038-1,2025-06-09,도미니카공화국 몬테 크리스티 직업훈련센터 (MVC) 감리사 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,936.2,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00027,2020-00073,에콰도르,1,L2022-00027-1,L2022-00027-1,2022-06-06,에콰도르 키토시 혁신센터 건립을 통한 창업 및 기업혁신 지원체계 강화사업 리모델링 설계 용역,C,DESIGN_OR_SUPERVISION_SERVICE,MATCH_ATTACHMENT_CONSTRUCTION_BUDGET,3100.0,2670000.0,861.2903225806451,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00003,2020-00086,우즈베키스탄,1,L2022-00003-1,L2022-00003-1,2022-02-21,우즈베키스탄 우르겐치 직업훈련원 및 직업훈련제도 역량공고화 지원사업 설계 및 감리업체 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,7021.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00007,2020-00086,우즈베키스탄,1,L2023-00007-1,L2023-00007-1,2023-02-28,우즈베키스탄 우르겐치 직업훈련원 건립 및 타슈켄트 교사연수센터 건립사업 시공업체선정 현지입찰,C?,WORKS,MATCH,6963.0,5361576.0,770.0094786729858,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00036,2020-00086,우즈베키스탄,1,L2023-00036-1,L2023-00036-1,2023-07-17,우즈베키스탄 우르겐치 직업훈련원 건립 및 타슈켄트 교사연수센터 건립사업 시공업체선정 현지입찰,B,WORKS,MATCH,6963.0,5361576.0,770.0094786729858,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00053,2020-00086,우즈베키스탄,1,L2023-00053-1,L2023-00053-1,2023-07-17,우즈베키스탄 직업훈련원 및 타슈켄트 교사연수센터 건립 시공업체 선정 현지입찰,C,WORKS,MATCH,6963.0,5361576.0,770.0094786729858,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00018,2020-00087,인도네시아,1,L2023-00018-1,L2023-00018-1,2023-04-18,인도네시아 취약계층 청소년 사회복귀 지원사업 리모델링 시공업체 선정,C,WORKS,MATCH,6149.0,2355000.0,382.98910391933646,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00014,2020-00094,필리핀,1,L2021-00014-1,L2021-00014-1,2021-05-20,필리핀 농기계현대화센터 구축 및 역량강화 사업 건축 설계용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,2000.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00009,2020-00094,필리핀,1,L2022-00009-1,L2022-00009-1,2022-04-26,필리핀 국립대학교 로스바뇨스 첨단농업연구센터 건축 설계 용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00067,2020-00099,키르기즈,1,L2023-00067-1,L2023-00067-1,2023-11-21,키르기스스탄 G-cloud 센터 인테리어 리모델링 시공 입찰,C,WORKS,MATCH,420.0,280621.0,668.1452380952381,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00012,2020-00104,파키스탄,1,L2021-00012-1,L2021-00012-1,2021-04-28,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업 설계 및 감리용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,3047.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00034,2020-00104,파키스탄,1,L2022-00034-1,L2022-00034-1,2022-06-30,파키스탄 아동 및 지역 영양개선을 위한 영양교육센터 신축공사 공사입찰설명서,C?,WORKS,MATCH,3046.75,2462409.0,808.2084188069255,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00043,2020-00113,방글라데시,1,L2022-00043-1,L2022-00043-1,2022-09-01,방글라데시 사이버안전을 위한 디지털수사역량 확산사업 챠토그램 사이버경찰센터 시공,C,WORKS,MATCH,2194.0,1575000.0,717.8669097538742,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00004,2020-00114,네팔,1,L2021-00004-1,L2021-00004-1,2021-02-08,네팔 보건 및 소득증대를 통한 통합적 농촌지역 역량강화사업 아웃리치 센터 설계 및 감리업체 선정 현지입찰 계획,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,1500.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00029,2020-00114,네팔,1,L2021-00029-1,L2021-00029-1,2021-10-11,네팔 보건 및 소득증대를 통한 통합적 농촌지역 역량강화사업 시공업체 선정 현지 입찰,C,WORKS,MATCH,1120.3,929600.0,829.7777381058645,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00070,2020-00119,이라크,1,L2025-00070-1,L2025-00070-1,2025-07-10,한-이라크 심장병 어린이 전문병원 신축공사,C?,WORKS,MATCH,5486.0,13292831.0,2423.0461173897193,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00071,2020-00119,이라크,1,L2025-00071-1,L2025-00071-1,2025-09-08,한-이라크 심장병 어린이 전문병원 신축공사(재공고),C,WORKS,MATCH,5486.0,13292831.0,2423.0461173897193,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00085,2020-00119,이라크,1,L2025-00085-1,L2025-00085-1,2025-10-06,(긴급) 한-이라크 심장병 어린이 전문 병원 신축공사(신규입찰),A-부분,WORKS,MATCH,5486.0,13292831.0,2423.0461173897193,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00018,2021-00016,가나,1,L2025-00018-1,L2025-00018-1,2025-04-02,가나대학교 한-가나 연구 및 ICT 혁신센터 건립사업 공사,A,WORKS,MATCH,2684.36,4333427.0,1614.3240846980284,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00075,2021-00018,몽골,1,L2023-00075-1,L2023-00075-1,2024-01-22,몽골 철도교통관제센터(RTCC) 건립 시공 입찰,C?,WORKS,MATCH,3131.0,3454118.0,1103.199616735867,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00028,2021-00042,우간다,1,L2023-00028-1,L2023-00028-1,2023-06-27,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,3772.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00050,2021-00042,우간다,1,L2024-00050-1,L2024-00050-1,2024-09-16,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,C,WORKS,MATCH,4032.0,3910000.0,969.7420634920635,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00062,2021-00042,우간다,1,L2025-00062-1,L2025-00062-1,2025-08-06,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,C,WORKS,MATCH,2378.8,1123590.0,472.33479065074823,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00011,2021-00043,우간다,1,L2023-00011-1,L2023-00011-1,2023-03-28,"우간다 주요 채소작물 종자 가치사슬 역량강화사업 Wakiso, Mukono 및 Luwero지역 온실, 토목 및 수도 건축공사",C,WORKS,MATCH,6456.0,1540000.0,238.53779429987608,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00077,2021-00054,세네갈,1,L2023-00077-1,L2023-00077-1,2023-11-14,세네갈 대국민 소통증진을 위한 국회의정활동시스템 현대화사업 리모델링 업체 선정 입,X,GOODS,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00045,2021-00055,세네갈,1,L2023-00045-1,L2023-00045-1,2023-06-16,세네갈 ISEPDD 메이커스페이스 및 카페테리아 리모델링 공사 계약,C,WORKS,MATCH,453.0,297000.0,655.6291390728477,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00021,2021-00064,파라과이,1,L2023-00021-1,L2023-00021-1,2023-02-06,파라과이 멀티미디어 교육지원센터 설립을 통한 교육접근성 향상사업(설계 용역 입찰),X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,1000.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00054,2021-00072,필리핀,1,L2023-00054-2,L2023-00054-2,2023-11-03,(재공고) 필리핀 국립대학교 로스바뇨스(UPLB) 첨단농업연구센터 신축공사,C?,WORKS,MATCH,6682.62,5107200.0,764.2511470052166,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00006,2021-00075,동티모르,1,L2023-00006-1,L2023-00006-1,2023-02-23,동티모르 농민참여형 가치사슬 개선사업 농업용 인프라 시공,C?,WORKS,MATCH,826.8,1570000.0,1898.887276245767,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00019,2021-00075,동티모르,1,L2023-00019-1,L2023-00019-1,2023-04-12,(신규재입찰) 동티모르 농민참여형 가치사슬 개선사업 농업용 인프라 시공,C?,WORKS,MATCH,826.8,1570000.0,1898.887276245767,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00022,2021-00075,동티모르,1,L2023-00022-1,L2023-00022-1,2023-05-04,동티모르 농민참여형 가치사슬 개선사업 농업용 인프라 시공업체 선정,C,WORKS,MATCH,826.8,1570000.0,1898.887276245767,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00030,2021-00097,피지,1,L2023-00030-1,L2023-00030-1,2023-06-08,피지 농업공존형 태양광 발전사업(GCF) 영농기술센터 및 농기자재 보관창고 신축 설계 및 감리용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,1100.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00068,2021-00104,코트디부아르,2,L2024-00068-1;L2024-00068-2,L2024-00068-2,2024-11-14,[긴급] 코트디부아르 국립직업기술교육원 교사 ICT기반 교수역량강화사업 리모델링 공사,U,WORKS,PARTIAL_SCOPE,,440000.0,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00049,2021-00111,엘살바도르,2,L2024-00049-1;L2024-00049-2,L2024-00049-2,2024-11-01,엘살바도르 ITCA 공학교육역량 강화사업 시공사 선정 현지 재입찰,C,WORKS,MATCH,788.12,965000.0,1224.4328274881998,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00054,2021-00111,엘살바도르,2,L2024-00054-1;L2024-00054-2,L2024-00054-2,2024-11-13,엘살바도르 ITCA 공학교육역량 강화사업 감리사 선정 현지 재입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,788.12,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00035,2021-00126,케냐,1,L2024-00035-1,L2024-00035-1,2024-06-28,케냐 카지아도주 보건시스템 강화를 위한 모성 및 신생아 보건 개선사업 설계 및 감리용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00008,2021-00126,케냐,1,L2025-00008-1,L2025-00008-1,2025-02-14,케냐 카지아도주 보건시스템 강화를 위한 모성 및 신생아 보건 개선사업 시공,C,WORKS,MATCH,404.94,555810.0,1372.573714624389,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00013,2021-00139,네팔,1,L2021-00013-1,L2021-00013-1,2021-04-23,네팔 Province 2 지역 건설기술인력 양성을 위한 모델 폴리텍 설립사업” 모델 폴리텍 설계 및 감리업체 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,30000.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00029,2021-00139,네팔,1,L2022-00029-1,L2022-00029-1,2022-06-06,네팔 Province 2 지역 건설기술인력 양성을 위한 모델 폴리텍 설립사업 시공업체 선정,C,WORKS,MATCH,5640.1,3744400.0,663.8889381393947,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00006,2021-00141,네팔,1,L2022-00006-1,L2022-00006-1,2022-04-04,네팔 경찰 역량강화를 위한 사이버안전국 설립사업 설계 및 감리업체 선정 현지입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,4563.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00106,2022-00003,세네갈,1,L2025-00106-1,L2025-00106-1,2025-10-23,세네갈 실험실 리모델링 사업 Control Office 계약,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00031,2022-00009,네팔,1,L2024-00031-1,L2024-00031-1,2024-05-29,네팔 박타푸르 취약지역의 빈곤층 건강수준 향상을 위한 역량강화 및 의료인프라 개선사업,C,WORKS,MATCH,5898.25,4653720.0,789.0001271563599,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00073,2022-00027,캄보디아,1,L2025-00073-1,L2025-00073-1,2025-09-08,캄보디아 국립어린이병원 내과계 병동건립 및 의료인력역량 강화사업 내과계 병동 신축공사 시공사 선정 입찰,B,WORKS,MATCH,9053.0,11277000.0,1245.664420634044,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00061,2022-00036,에티오피아,1,L2023-00061-1,L2023-00061-1,2023-10-17,"에티오피아 가죽 및 가죽제품 강화 사업 신발 라스트 생산 공장 신축 및 보수 공사 설계, 감리 용역",X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,1250.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00070,2022-00038,볼리비아,2,L2023-00070-1;L2023-00070-2,L2023-00070-2,2023-11-03,볼리비아 라파스 주 임상병리검사실 체계 강화사업 현지 설계입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,2500.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00055,2022-00058,페루,1,L2024-00055-1,L2024-00055-1,2024-09-30,페루 쿠스코시 폐기물 통합관리 및 순환경제 구축사업 퇴비화 시범 플랜트 설계용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,4283.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00076,2022-00058,페루,1,L2024-00076-1,L2024-00076-1,2024-11-25,페루 쿠스코시 폐기물 통합관리 및 순환경제 구축사업 퇴비화 시범 플랜트 설계용역,X,DESIGN_SERVICE,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00072,2022-00064,우간다,1,L2024-00072-1,L2024-00072-1,2024-10-08,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,3270.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00084,2022-00064,우간다,1,L2025-00084-1,L2025-00084-1,2025-09-29,우간다 마케레레 대학 원격교육 조성사업 신축 공사,C,WORKS,MATCH,4040.0,4383000.0,1084.90099009901,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00075,2022-00069,필리핀,1,L2025-00075-1,L2025-00075-1,2025-09-13,(긴급) 필리핀 기마라스주 해수양식센터 건립 설계 용역업체 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,8722.56,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00094,2022-00069,필리핀,1,L2025-00094-1,L2025-00094-1,2025-10-22,[재공고][긴급] 필리핀 기마라스주 해수양식센터 건립 설계 용역업체 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,8722.56,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00038,2022-00076,피지,1,L2023-00038-1,L2023-00038-1,2023-07-22,피지 국립재활센터 건립사업 설계 및 감리용역 현지입찰계획,C-부분,DESIGN_OR_SUPERVISION_SERVICE,PARTIAL_ATTACHMENT_CONSTRUCTION_BUDGET,2700.0,5627206.0,2084.15037037037,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00051,2022-00076,피지,2,L2025-00051-1;L2025-00051-2,L2025-00051-2,2025-09-12,피지 국립재활센터 신축 공사,B,WORKS,PARTIAL_SCOPE,2686.4,6767312.0,2519.1006551518763,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00002,2022-00079,인도네시아,1,L2025-00002-1,L2025-00002-1,2025-01-10,인도네시아 사이버보안 훈련센터 신축공사 시공사 선정,C,WORKS,MATCH,2457.53,2361000.0,960.7207236534243,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00001,2022-00598,파키스탄,1,L2024-00001-1,L2024-00001-1,2024-01-11,파키스탄 국립섬유대학 산업용 섬유센터 설립사업 2차사업 설계용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,2551.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00011,2022-00598,파키스탄,1,L2025-00011-1,L2025-00011-1,2025-03-08,파키스탄 국립섬유대학 산업용 섬유센터 설립사업 2차사업 공사,C?,WORKS,MATCH,1000.0,1964270.0,1964.27,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00014,2022-00598,파키스탄,1,L2025-00014-1,L2025-00014-1,2025-03-15,파키스탄 국립섬유대학 산업용 섬유센터 설립사업 2차사업 감리용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,2554.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00047,2022-00598,파키스탄,1,L2025-00047-1,L2025-00047-1,2025-06-21,파키스탄 국립섬유대학 산업용 섬유센터 설립사업 2차사업 공사,C,WORKS,MATCH,1980.0,1964270.0,992.0555555555555,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00078,2023-00004,볼리비아,1,L2025-00078-1,L2025-00078-1,2025-09-26,볼리비아 엘알또 모성보건센터 신축/증축/보수 공사 설계사 선정,C-부분,DESIGN_OR_SUPERVISION_SERVICE,PARTIAL_ATTACHMENT_CONSTRUCTION_BUDGET,1600.0,3226604.0,2016.6275,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00056,2023-00008,캄보디아,1,L2025-00056-1,L2025-00056-1,2025-08-01,캄보디아 직원훈련기관(TVET기관) ICT Lab 리모델링 설계·시공,U,DESIGN_BUILD_WORKS,NO_MATCH,,1343000.0,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00041,2023-00030,키르기즈,1,L2024-00041-1,L2024-00041-1,2024-06-18,"키르기즈공화국 가축 품종개량 및 인공수정인력 역량강화사업 연수센터 신축, 바이오센터 리모델링 설계 및 저작권감리용역",X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,1825.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00066,2023-00032,피지,1,L2024-00066-1,L2024-00066-1,2024-10-25,피지국립의과대학 의료인력 역량강화사업 설계 및 감리용역,C,DESIGN_OR_SUPERVISION_SERVICE,MATCH_ATTACHMENT_CONSTRUCTION_BUDGET,1060.0,2406346.0,2270.1377358490568,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00079,2023-00052,네팔,1,L2024-00079-1,L2024-00079-1,2024-12-23,네팔 포카라시 리사이클/업사이클 플랫폼 및 친환경 시범마을 구축을 통한 녹색일자리 창출사업(23~29/980만불) 시공업체 선정,C,WORKS,MATCH,4996.62,3534542.0,707.3865933370959,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00048,2023-00067,코트디부아르,1,L2024-00048-1,L2024-00048-1,2024-08-30,코트디부아르 펠릭스우푸에부아니대학교 ICT 고등교육 역량강화 및 디지털 교육 개선사업 설계 및 감리용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00056,2023-00067,코트디부아르,2,L2024-00056-1;L2024-00056-2,L2024-00056-2,2024-10-14,[긴급] 코트디부아르 펠릭스우푸에부아니대학교 ICT 고등교육 역량강화 및 디지털 교육 개선사업 설계 및 감리용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00052,2023-00067,코트디부아르,1,L2025-00052-1,L2025-00052-1,2025-07-04,코트디부아르 펠릭스 우푸에 부아니대학교 ICT 교육역량 강화 및 ICT 혁신센터 설립사업 PETROCI 건물 리모델링 공사,C,WORKS,MATCH,1500.0,1963286.0,1308.8573333333334,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00045,2023-00087,이라크,2,L2025-00045-1;L2025-00045-2,L2025-00045-2,2025-08-28,“이라크 쿠르드 지역학교 내 난민통합교육 강화사업” 선도학교 및 교사연수센터 신축을 위한 설계 및 시공감리 업체 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,6000.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00036,2024-00015,캄보디아,1,L2025-00036-1,L2025-00036-1,2025-05-30,캄보디아 당까오 후송병원 공공의료서비스 개선사업 병원신축 설계감리용역,C,DESIGN_OR_SUPERVISION_SERVICE,MATCH_ATTACHMENT_CONSTRUCTION_BUDGET,3700.0,6600000.0,1783.7837837837837,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00097,2024-00105,키르기스스탄,1,L2025-00097-1,L2025-00097-1,2025-10-29,키르기스스탄 디지털 전환을 위한 국가 정보화 역량 강화 사업 ICT 교육센터 신축공사를 위한 설계 및 저작권감리용역,C,DESIGN_OR_SUPERVISION_SERVICE,MATCH_ATTACHMENT_CONSTRUCTION_BUDGET,1179.0,1704050.0,1445.3350296861747,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2017-00005,L2017-0004,에콰도르,1,L2017-00005-1,L2017-00005-1,2017-08-15,에콰도르 과야스주 보건의료센터 건립사업 시공사 선정 입찰,C,WORKS,MATCH,2541.35,3572800.0,1405.866960473764,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
