project_key,project_no,country_ko,representative_title,representative_construction_bid_title,grade,technical_status,grade_detail,price_stage,scope_status,verification_level,review_status,evidence_file,evidence_location,blocking_issue,next_action,verified_cost_amount,verified_cost_currency,verified_cost_per_gfa_m2,verified_item_note,candidate_record_count,linked_bid_count,linked_bid_nos,indexed_attachment_count,construction_attachment_count,unique_attachment_count,spreadsheet_count,boq_named_file_count,quantity_table_file_count,priced_table_file_count,max_quantity_rows_detected,max_priced_rows_detected,scan_error_file_count,gross_floor_area_m2_values,direct_project_estimate_ready,needs_local_rates,only_screening_or_trace,sample_weight,claim_boundary
2013-00009,2013-00009,엘살바도르,엘살바도르 한-엘 의료센터 건립사업('13-'20/355만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:247,,엘살바도르,엘살바도르 산살바도르 도시교통 마스터플랜 수립 및 버스관리정보시스템 구축사업(시범시스템) 시스템개발 PC용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2014-00004,2014-00004,요르단,요르단 3개 지역 보건소 건립사업('14-'19/516만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2014-00019,2014-00019,요르단,요르단 청각장애 특수학교 건립사업('14-'17/520만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2016-00206,2016-00206,요르단,요르단 시리아 난민 밀집지역 취약계층 아동을 위한 3개 학교 건립사업('...,,C,U,C3 첨부 문서추적: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,4,L2018-00005-1;L2018-00020-1;L2019-00043-1;L2020-00007-1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2011-00024,2011-00024,우간다,우간다 직업훈련원 건립사업('11-'18/579만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2011-00051,2011-00051,우간다,우간다 과일가공공장 건립사업('11-'19/800만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2011-00052,2011-00052,우간다,우간다 농업지도자연수원 건립사업('11-'17/440만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2015-00034,2015-00034,우간다,우간다 새마을운동 시범마을 건립사업('15-'18/295만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2021-00042,2021-00042,우간다,"우간다 농업지도자 연수원 자립적 운영체계 구축 및 연수역량 강화사업('21·'28/1,200만불)",우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V2,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,3,L2023-00028-1;L2024-00050-1;L2025-00062-1,47,35,39,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00064,2022-00064,우간다,"우간다 마케레레대학교 ICT 교육환경 조성사업('23·'28/1,220만불)",우간다 마케레레 대학 원격교육 조성사업 신축 공사,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V2,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,2,L2024-00072-1;L2025-00084-1,20,1,20,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2020-00086,2020-00086,우즈베키스탄,"우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 사업(20·25/1,400만불) 기자재 공급 및 설치",우즈베키스탄 우르겐치 직업훈련원 건립 및 타슈켄트 교사연수센터 건립사업 시공업체선정 현지입찰,B,B,수동검증완료: Urgench VTC·TTC Not-Priced 공내역서에 대규모 공종별 수량은 있으나 캐시 단가는 0/공란,NONE,FULL,V3,수동검증완료,L2023-00036-1/.../Section 4. Bill of Quantities(Not-Priced)/공내역서/,VTC·TTC 구조·건축·설비 공종별 XLS/XLSX,품목별 현지 단가 부재; 재공고 파일 중복 제거 필요,고유 SHA 기준 수량 통합 후 우즈베키스탄 현지단가 결합,,,,,3,4,L2022-00003-1;L2023-00007-1;L2023-00036-1;L2023-00053-1,609,586,327,520,550,102,0,1896,1,0,,0,1,0,1,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2021-00085,2021-00085,우즈베키스탄,"우즈베키스탄 유아교사 역량강화 및 유아교육진흥센터 건립사업('21·'26/1,199만불)",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,5,1,L2023-00065-1,14,0,14,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:279,,우즈베키스탄,우즈베키스탄 세계경제외교대학(UWED) 사이버대학 설립을 위한 온라인교육 제도 구축 및 환경 조성 사업(25·29/690만불) PMC 용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2023-00096,2023-00096,우크라이나,우크라이나 키이우주 재활의료 역량강화 사업('23·'27/500만불) 설계 용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,2,2,L2025-00049-1;L2025-00049-2,2,0,2,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:265,,우크라이나,"우크라이나 국립아동병원 오흐마디트 소아 트라우마 및 재활의료 서비스 강화 사업('25·'28/1,400만불)",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2020-00119,2020-00119,이라크,"이라크 한·이라크 심장병 어린이 전문 병원 건립사업('20·'30/2,793만불)",(긴급) 한-이라크 심장병 어린이 전문 병원 신축공사(신규입찰),A,A-부분,수동검증완료: 숨김 설계단가 644개와 건축 Bill No.01 BOQ 561행을 품목코드로 561/561 결합,DESIGN_ESTIMATE,PARTIAL_BOUNDED,V3,수동검증완료,L2025-00085-1/.../BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,Works particular bill 및 숨김 일위대가목록·단가대비표,건축 Bill No.01만 포함; 토목·기계·전기·통신·소방 등 제외,나머지 Bill을 동일 방식으로 복원하고 계약·준공가 확보,8372712.422776788,USD,1526.196212682608,건축 Bill No.01 561행·숨김단가 644개·561/561 결합,2,3,L2025-00070-1;L2025-00071-1;L2025-00085-1,119,119,62,91,97,35,16,1476,823,0,5486,1,0,0,1,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2023-00087,2023-00087,이라크,"이라크 쿠르드 지역학교 내 난민통합교육 강화사업 (23·28/1,200만불) 설계",이라크 아르빌 자이툰 도서관 개보수(리모델링) 공사 시공업체 선정 입찰,B,B-부분,"수동검증완료: 자이툰 도서관 2단계 리모델링 non-priced BOQ 48개 수량행, 단가 0",NONE,PARTIAL_BOUNDED,V3,수동검증완료,L2025-00017-2/1. BOQ for Zaytun Library_non-priced for 2 stages.xlsx,Sheet1 수량·단가 표,도서관 부분자료이며 품목별 현지 단가 부재,이라크 단가 라이브러리와 품목·시점·지역 적합성 검토 후 결합,,,,,1,4,L2025-00017-1;L2025-00017-2;L2025-00045-1;L2025-00045-2,56,20,48,2,2,1,0,48,0,0,,0,1,0,1,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2021-00009,2021-00009,인도네시아,인도네시아 국립대학교 ICT기반 통합지식교육센터 구축 사업(21·26/985만불) 시공 용역,,C,C?,C1 면적·금액 원단위: 직접 수량×단가 산정 근거 미확인,PLAN_CEILING,UNKNOWN,V1,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,2,L2024-00063-1;L2025-00004-1,0,0,0,0,0,0,0,0,0,0,7687,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2021-00156,2021-00156,인도네시아,"인도네시아 보고르대학교 농업생명과학연구센터 역량강화 사업(21·28/1,100만불)",,C,C?,C1 면적·금액 원단위: 직접 수량×단가 산정 근거 미확인,PLAN_CEILING,UNKNOWN,V1,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,2,L2024-00052-1;L2025-00079-1,16,0,16,0,0,0,0,0,0,0,2281.2,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00079,2022-00079,인도네시아,인도네시아 사이버보안 전문인력양성 역량강화사업('22·'27/740만불) 사이버보안 훈련센터 신축공사 시공사 선정,인도네시아 사이버보안 훈련센터 신축공사 시공사 선정,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V2,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,3,L2023-00071-1;L2024-00053-1;L2025-00002-1,24,12,24,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00084,2022-00084,인도네시아,"인도네시아 재난대응 공공의료 훈련 역량강화사업('22·'28/1,200만불)",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,2,L2025-00090-1;L2025-00090-2,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2016-00022,2016-00022,카메룬,카메룬 국립직업훈련교육원 건립사업(`13-`21/680만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00142,2022-00142,카메룬,카메룬 전자정부 인식개선 및 역량강화 사업 신축 시공 용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,2,4,L2024-00015-1;L2024-00015-2;L2025-00032-1;L2025-00032-2,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2023-00084,2023-00084,카메룬,"카메룬 응급의료체계 구축 사업('23·'28/1,400만불) 건축 설계 용역",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00027,2022-00027,캄보디아,"캄보디아 국립소아병원 내과계 병동건립 및 의료인력 역량강화사업(22·27/1,600만불) 시공입찰",캄보디아 국립어린이병원 내과계 병동건립 및 의료인력역량 강화사업 내과계 병동 신축공사 시공사 선정 입찰,B,B,"수동검증완료: 국립소아병원 신축 Section 4 blank BOQ에 공종별 수량, 단가 0",NONE,FULL,V3,수동검증완료,L2025-00073-1/.../Section 4_BLANK BOQ.xlsx,"Bill 1.0~6.6, 대표 Bill 4.3 수량표",품목별 캄보디아 현지 단가 부재,공종별 BOQ 통합 후 현지단가 결합,,,,,2,1,L2025-00073-1,9,9,9,1,1,1,0,452,0,0,8880,0,1,0,1,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2013-00054,2013-00054,캄보디아,"캄보디아 민간항공 관리역량 제고 및 교육센터 건립사업('13-'18/1,...",,C,U,C4 미연결·기초정보: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2024-00015,2024-00015,캄보디아,캄보디아 당까오 후송병원 공공의료서비스 개선사업 병원설계용역,,C,U,U1 면적·금액 범위불일치 가능: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,1,L2025-00036-1,19,0,19,0,0,0,0,0,0,0,3700,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2024-02690,2024-02690,케냐,"케냐 분고마 주 보편적 식수접근성 향상을 위한 상수도 구축 및 통합적 운영관리 역량강화사업(25·32/1,300만불) PMC 용역",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:125,,케냐,케냐 청년 생산적 고용 및 소득 증대를 위한 국가산업훈련청 아띠리버 센터 역량강화사업('24·'28/700만불) PMC 용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2015-00019,2015-00019,코트디부아르,코트디부아르 한-코 협력센터 건립사업(15-20/950만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,2,L2021-00022-1;L2021-00028-1,19,0,19,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2023-00067,2023-00067,코트디부아르,코트디부아르 펠릭스 우푸에 부아니대학교 ICT 교육역량 강화 및 ICT 혁신센터 설립 사업('23·'27/995만불) 리모델링 시공,코트디부아르 펠릭스 우푸에 부아니대학교 ICT 교육역량 강화 및 ICT 혁신센터 설립사업 PETROCI 건물 리모델링 공사,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V2,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,4,L2024-00048-1;L2024-00056-1;L2024-00056-2;L2025-00052-1,75,27,51,1,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2024-00029,2024-00029,코트디부아르,"코트디부아르 지역균형발전을 위한 중부지역 직업전문학교 역량강화사업('24·'29/1,100만불)",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,2,1,L2025-00060-1,19,0,19,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2007-00015,2007-00015,콜롬비아,"콜롬비아 한-콜롬비아 우호재활센터 건립사업('07-'16/1,150만불)...",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:169,,콜롬비아,콜롬비아 다목적지적을 위한 공간정보 역량강화 체계 구축사업(24·26/600만불) PMC 용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2019-03655,2019-03655,키르기스스탄,키르기스스탄 추이 주 교내 위생환경 개선사업 리모델링 시공업체 선정 현지입찰,키르기스스탄 추이 주 교내 위생환경 개선 사업(프로젝트봉사단) 리모델링 시공업체 선정 현지 입찰,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V2,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,2,1,L2025-00099-1,9,9,9,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2023-00027,2023-00027,키르기스스탄,키르기스스탄 국회 디지털화 사업(23·27/840만불) 시공업체(PC) 선정,키르키즈공화국 국회 디지털화 사업 시공,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V2,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,5,L2025-00003-1;L2025-00003-2;L2025-00028-1;L2025-00054-1;L2025-00058-1,82,82,48,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2023-00030,2023-00030,키르기스스탄,키르기스스탄 가축 품종개량 및 인공수정인력 역량강화사업 바이오센터 리모델링 시공,,C,C?,C1 면적·금액 원단위: 직접 수량×단가 산정 근거 미확인,PLAN_CEILING,UNKNOWN,V1,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,4,1,L2024-00041-1,19,0,19,0,0,0,0,0,0,0,1825;1852,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2024-00105,2024-00105,키르기스스탄,키르기스스탄 디지털 전환을 위한 국가 정보화 역량 강화 사업('24·'27/700만불),,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,1,L2025-00097-1,27,0,26,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:303,,타지키스탄,타지키스탄 섬유산업 전문기술인력 양성을 위한 섬유기술센터 설립 사업 PMC 선정,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2023-00100,2023-00100,탄자니아,탄자니아 도도마주 유수율 제고 시범모델 구축 및 상수도 시설 개선사업(23·26/382만불) 설계,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,1,L2025-00006-1,17,0,17,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:109,,탄자니아,"탄자니아 프와니주 농촌지역 상수도 공급시설 구축 사업('25·'29/1,100만불) 설계 용역",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:188,,탄자니아,"탄자니아 모로고로 주 폴리텍대학 건립 및 기술교육훈련 사업(25·30/1,950만불) PMC 용역",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
