number,bid_base_no,order,bid_no,title,contract_type,contract_method,notice_date,manager,construction_candidate
156,L2024-00056,2,L2024-00056-2,[긴급] 코트디부아르 펠릭스우푸에부아니대학교 ICT 고등교육 역량강화 및 디지털 교육 개선사업 설계 및 감리용역,용역,일반경쟁,2024-10-14,박채훈,True
157,L2024-00056,1,L2024-00056-1,[긴급] 코트디부아르 펠릭스우푸에부아니대학교 ICT 고등교육 역량강화 및 디지털 교육 개선사업 설계 및 감리용역,용역,일반경쟁,2024-09-26,박채훈,True
158,L2024-00055,1,L2024-00055-1,페루 쿠스코시 폐기물 통합관리 및 순환경제 구축사업 퇴비화 시범 플랜트 설계용역,용역,일반경쟁,2024-09-30,김소연,True
159,L2024-00054,2,L2024-00054-2,엘살바도르 ITCA 공학교육역량 강화사업 감리사 선정 현지 재입찰,용역,일반경쟁,2024-11-13,김진경,True
160,L2024-00054,1,L2024-00054-1,엘살바도르 ITCA 공학교육역량 강화사업 감리사 선정 현지입찰,용역,일반경쟁,2024-09-23,김진경,True
161,L2024-00053,1,L2024-00053-1,인도네시아 사이버보안 훈련센터 신축 시공사 선정 입찰,공사,일반경쟁,2024-09-30,이지혜,True
162,L2024-00052,1,L2024-00052-1,인도네시아 보고르대학교 첨단 연구실험센터 설계 및 시공감리 용역업체 선정,용역,일반경쟁,2024-09-24,안광수,True
163,L2024-00051,1,L2024-00051-1,라오스 성생식 모자보건 접근성 개선을 위한 서비스 수준 강화 및 지역기반 프로그램 개발사업(19-25/750만불),물품,일반경쟁,2024-09-23,장소명,False
164,L2024-00050,1,L2024-00050-1,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,공사,일반경쟁,2024-09-16,오정호,True
165,L2024-00049,2,L2024-00049-2,엘살바도르 ITCA 공학교육역량 강화사업 시공사 선정 현지 재입찰,공사,일반경쟁,2024-11-01,김진경,True
166,L2024-00049,1,L2024-00049-1,엘살바도르 ITCA 공학교육역량 강화사업 시공사 선정 현지입찰,공사,일반경쟁,2024-09-09,김진경,True
167,L2024-00048,1,L2024-00048-1,코트디부아르 펠릭스우푸에부아니대학교 ICT 고등교육 역량강화 및 디지털 교육 개선사업 설계 및 감리용역,용역,일반경쟁,2024-08-30,박채훈,True
168,L2024-00047,2,L2024-00047-2,캄보디아 캄보디아 농촌종합개발을 통한 평화마을조성사업 식수정수장 구축 및 운영 역량강화 용역 입찰,용역,일반경쟁,2024-10-17,신용화,False
169,L2024-00047,1,L2024-00047-1,캄보디아 캄보디아 농촌종합개발을 통한 평화마을조성사업 식수정수장 구축 및 운영 역량강화 용역 입찰,용역,일반경쟁,2024-09-02,신용화,False
170,L2024-00046,1,L2024-00046-1,우간다 KOICA 3차 단기교육과정 실습재료 공급(패션),물품,일반경쟁,2024-08-22,오상은,False
171,L2024-00045,1,L2024-00045-1,"우간다 KOICA 3차 단기교육과정 실습재료 공급(용접, 배관)",물품,일반경쟁,2024-08-22,오상은,False
172,L2024-00044,1,L2024-00044-1,"우간다 KOICA 3차 단기교육과정 실습재료 공급(전기, 자동차)",물품,일반경쟁,2024-08-22,오상은,False
173,L2024-00043,1,L2024-00043-1,파키스탄 ICT센터 사후지원 사업 교육용 기자재 지원 입찰,물품,일반경쟁,2024-08-12,전태진,False
174,L2024-00042,1,L2024-00042-1,라오스 8번 국도(AH15) 교량과 도로안전 개선사업 시공업체 선정,공사,일반경쟁,2024-07-24,김여진,True
175,L2024-00041,1,L2024-00041-1,"키르기즈공화국 가축 품종개량 및 인공수정인력 역량강화사업 연수센터 신축, 바이오센터 리모델링 설계 및 저작권감리용역",용역,일반경쟁,2024-06-18,장지은,True
176,L2024-00040,1,L2024-00040-1,케냐 카지아도주 보건시스템 강화를 통한 모성 및 신생아 보건 개선 사업(2021-2026/605만불) 현지 기자재(앰뷸런스) 구매 계약,물품,수의계약,2024-08-01,한송이,False
177,L2024-00039,1,L2024-00039-1,한-이라크 직업훈련원 2차 지원사업 리노베이션 시공업체선정 현지입찰,공사,일반경쟁,2024-05-12,김종한,True
178,L2024-00038,1,L2024-00038-1,파키스탄 아동 및 지역 영양개선을 위한 영양교육센터 설립사업 가구 구매,물품,일반경쟁,2024-07-19,조연경,False
179,L2024-00037,1,L2024-00037-1,인도네시아 취약계층 청소년 사회복귀 지원사업 기자재 구매 용역,물품,일반경쟁,2024-07-03,이지혜,False
180,L2024-00036,1,L2024-00036-1,피지 농업공존형 태양광 발전사업 영농기술센터 및 농기자재 보관창고 신축 시공사 선정 입찰,공사,일반경쟁,2024-06-29,이지수,True
181,L2024-00035,1,L2024-00035-1,케냐 카지아도주 보건시스템 강화를 위한 모성 및 신생아 보건 개선사업 설계 및 감리용역,용역,일반경쟁,2024-06-28,박미,True
182,L2024-00034,2,L2024-00034-2,캄보디아 고등인재양성 왕립프놈펜대학 환경공학과 설립사업 사무 가구 및 기자재 구매 입찰,물품,일반경쟁,2024-08-06,채정원,False
183,L2024-00034,1,L2024-00034-1,캄보디아 고등인재양성 왕립프놈펜대학 환경공학과 설립사업 사무 가구 및 기자재 구매 입찰,물품,일반경쟁,2024-06-12,채정원,False
184,L2024-00033,1,L2024-00033-1,캄보디아 고등인재양성 왕립프놈펜대학 환경공학과 설립사업 기초 실험 기자재 구매 입찰,물품,일반경쟁,2024-06-06,채정원,False
185,L2024-00032,1,L2024-00032-1,네팔 정보재난복구센터(DRC) 구축사업(2013-2021/547만불) 2차 사후지원 기자재 공급 및 설치업체 선정 현지입찰,물품,일반경쟁,2024-06-10,김지영,False
186,L2024-00031,1,L2024-00031-1,네팔 박타푸르 취약지역의 빈곤층 건강수준 향상을 위한 역량강화 및 의료인프라 개선사업,공사,일반경쟁,2024-05-29,송정은,True
187,L2024-00030,1,L2024-00030-1,라오스 성생식 모자보건 접근성 개선을 위한 서비스 수준 강화 및 지역기반 프로그램 개발사업 통합모자보건 영양센터 영양교육 교보재 구매,물품,일반경쟁,2024-06-12,김나영,False
188,L2024-00029,1,L2024-00029-1,라오스 앗따쁘주 기후변화 대응 회복력 및 자립역량 강화를 위한 통합프로그램 종료선 조사 용역,용역,일반경쟁,2024-06-06,김여진,False
189,L2024-00028,1,L2024-00028-1,과테말라 키체주 농촌취약계층 기후회복력 강화사업 에너지효율 쿡스토브 제조 및 설치,물품,일반경쟁,2024-04-08,동상진,False
190,L2024-00027,1,L2024-00027-1,동티모르 농민참여형 가치사슬 개선사업 APCS 및 사업 관련 기자재 구매 입찰,물품,일반경쟁,2024-05-29,안광수,False
191,L2024-00026,1,L2024-00026-1,우간다 주요 채소작물 종자 가치사슬 역량강화사업 노지 포장용 기자재 공급용역,물품,일반경쟁,2024-05-23,조숭호,False
192,L2024-00025,1,L2024-00025-1,우간다 주요 채소작물 종자 가치사슬 역량강화사업 실험실 기자재 공급용,물품,일반경쟁,2024-05-23,조숭호,False
193,L2024-00024,1,L2024-00024-1,라오스 남부 3개주 농촌개발사업  남부농업기술훈련원 건축 설계 및 시공감리 용역,용역,일반경쟁,2024-05-21,김여진,True
194,L2024-00023,1,L2024-00023-1,(3차공고) 페루 국가문화유산 통합등록 및 관리시스템 구축사업 고고학부동산 추가통합 시스템구축 용역,용역,일반경쟁,2024-05-06,서의택,False
195,L2024-00022,1,L2024-00022-1,몽골 초중고등학교 급식환경 개선 및 역량강화사업 설계업체 선정,용역,조달위탁,2023-11-02,강종려,True
196,L2024-00021,1,L2024-00021-1,몽골 초중고등학교 급식환경 개선 및 역량강화사업 설계업체 선정,용역,조달위탁,2023-11-20,강종려,True
197,L2024-00020,1,L2024-00020-1,라오스 농업 및 공공행정분야 2개 사업 IT 기자재 구매 입찰,물품,일반경쟁,2024-05-24,김여진,False
198,L2024-00019,2,L2024-00019-2,동티모르 스포츠를 활용한 아동발달사업  2차 기자재 공급업체 선정 현지입찰(재),물품,일반경쟁,2024-06-14,장성환,False
199,L2024-00019,1,L2024-00019-1,동티모르 스포츠를 활용한 아동발달사업  2차 기자재 공급업체 선정 현지입찰,물품,일반경쟁,2024-05-10,장성환,False
200,L2024-00018,1,L2024-00018-1,파라과이 아순시온 국립대학 ICT 혁신센터 설립을 통한 ICT 경쟁력 강화사업 현지 감리사 선정 국제경쟁입찰,용역,일반경쟁,2024-04-11,박혜원,True
201,L2024-00017,1,L2024-00017-1,파라과이 아순시온 국립대학 ICT 혁신센터 설립을 통한 ICT 경쟁력 강화사업 현지 시공사 선정 국제경쟁입찰,공사,일반경쟁,2024-03-26,박혜원,True
202,L2024-00016,1,L2024-00016-1,이라크 한-이라크 직업훈련원 2차 지원사업 리노베이션 공사 시공업체 선정 현지 입찰,공사,일반경쟁,2024-05-09,김종한,True
203,L2024-00015,2,L2024-00015-2,카메룬 전자정부 인식개선 및 역량강화 사업 설계 및 감리 용역,용역,일반경쟁,2024-06-05,이상은,True
204,L2024-00015,1,L2024-00015-1,카메룬 전자정부 인식개선 및 역량강화 사업 설계 및 감리 용역,용역,일반경쟁,2024-05-02,이상은,True
205,L2024-00014,1,L2024-00014-1,라오스 농촌개발 실행전략 수립 및 중북부지역 농가소득증대 시범사업 한라농촌개발연수원 IT 기자재 구매 입찰,물품,일반경쟁,2024-04-24,김여진,False
206,L2024-00013,1,L2024-00013-1,파키스탄 KP주 아보타바드시 하베리안지역 상수도시설 건설사업,공사,일반경쟁,2024-04-22,전태진,True
207,L2024-00012,2,L2024-00012-2,[긴급][국제]인도네시아 취약계층 청소년 사회복귀 지원사업 기자재 구매 용역,물품,일반경쟁,2024-05-17,이지혜,False
208,L2024-00012,1,L2024-00012-1,인도네시아 취약계층 청소년 사회복귀 지원사업 기자재 구매 용역,물품,일반경쟁,2024-04-30,이지혜,False
209,L2024-00011,2,L2024-00011-2,KOICA-KOTRA 사무소 시설 경비 용역,용역,일반경쟁,2024-04-02,이성훈,False
210,L2024-00011,1,L2024-00011-1,KOICA-KOTRA 사무소 시설 경비 용역,용역,일반경쟁,2024-03-11,이성훈,False
211,L2024-00010,1,L2024-00010-1,(재공고) 페루 국가문화유산 통합등록 및 관리시스템 구축사업 고고학부동산 추가통합 시스템구축 용역,용역,일반경쟁,2024-03-22,서의택,False
212,L2024-00009,1,L2024-00009-1,페루 국가문화유산 통합등록 및 관리시스템 구축사업 고고학부동산 추가통합 시스템구축 용역,용역,일반경쟁,2024-01-24,서의택,False
213,L2024-00008,1,L2024-00008-1,라오스 성생식 모자보건 접근성 개선을 위한 서비스 수준 강화 및 지역 기반 프로그램 개발사업의 통합모자보건영양센터 IT기자재 구매 입찰,물품,일반경쟁,2024-04-09,김나영,False
214,L2024-00007,2,L2024-00007-2,라오스 성생식 모자보건 접근성 개선을 위한 서비스 수준 강화 및 지역 기반 프로그램 개발사업의 통합모자보건영양센터 가구 구매 입찰,물품,일반경쟁,2024-05-06,김나영,False
215,L2024-00007,1,L2024-00007-1,라오스 성생식 모자보건 접근성 개선을 위한 서비스 수준 강화 및 지역 기반 프로그램 개발사업의 통합모자보건영양센터 가구 구매 입찰,물품,일반경쟁,2024-04-08,김나영,False
216,L2024-00006,1,L2024-00006-1,과테말라 키체주 농촌취약계층 기후회복력 강화사업 에너지효율 쿡스토브 제조 및 설치,물품,일반경쟁,2024-04-08,동상진,False
217,L2024-00005,2,L2024-00005-2,(재공고) 필리핀 경쟁위원회 사건처리 역량강화 사업 기자재 납품 및 설치 업체 선정,물품,일반경쟁,2024-04-30,김상근,False
218,L2024-00005,1,L2024-00005-1,필리핀 경쟁위원회 사건처리 역량강화 사업 기자재 납품 및 설치 업체 선정,물품,일반경쟁,2024-03-15,김상근,False
219,L2024-00004,2,L2024-00004-2,탄자니아 세렝게티 국립공원 홍보관 개선사업 사후지원사업 미디어센터 태양광 전력 시스템 납품 설치 재입찰,물품,일반경쟁,2024-03-26,성지은,False
220,L2024-00004,1,L2024-00004-1,탄자니아 세렝게티 국립공원 홍보관 개선사업 사후지원사업 미디어센터 태양광 전력 시스템 납품 설치 입찰,물품,일반경쟁,2024-03-06,성지은,False
221,L2024-00003,1,L2024-00003-1,인도네시아 취약계층 청소년 사회복귀 지원사업 기자재 구매 용역,물품,일반경쟁,2024-04-02,이지혜,False
222,L2024-00002,2,L2024-00002-2,카메룬 야운데 응급센터 및 직업훈련원 사후지원 리모델링 시공용역(재공고),공사,일반경쟁,2024-04-26,서주희,True
223,L2024-00002,1,L2024-00002-1,카메룬 야운데 응급센터 및 직업훈련원 사후지원 리모델링 시공용역,공사,일반경쟁,2024-02-05,서주희,True
224,L2024-00001,1,L2024-00001-1,파키스탄 국립섬유대학 산업용 섬유센터 설립사업 2차사업 설계용역,용역,일반경쟁,2024-01-11,조연경,True
225,L2023-00077,1,L2023-00077-1,세네갈 대국민 소통증진을 위한 국회의정활동시스템 현대화사업 리모델링 업체 선정 입,물품,일반경쟁,2023-11-14,황유진,True
226,L2023-00076,1,L2023-00076-1,세네갈 대국민 소통증진을 위한 국회의정활동시스템 현대화사업 시스템 기자재 업체 선정 현지입,물품,일반경쟁,2023-11-15,황유진,False
227,L2023-00075,1,L2023-00075-1,몽골 철도교통관제센터(RTCC) 건립 시공 입찰,공사,조달위탁,2024-01-22,이강산,True
228,L2023-00074,1,L2023-00074-1,네팔 포카라시 리사이클/업사이클 플랫폼 및 친환경 시범마을 구축을 통한 녹색일자리 창출지원사업(23-29/980만불) 건축 설계 및 감리업체 선정,용역,일반경쟁,2023-09-04,정윤희,True
229,L2023-00073,1,L2023-00073-1,네팔 포카라시 리사이클/업사이클 플랫폼 및 친환경 시범마을 구축을 통한 녹색일자리 창출지원사업('23-'29/980만불) 건축 설계 및 감리업체 선정,용역,일반경쟁,2023-09-04,정윤희,True
230,L2023-00072,2,L2023-00072-2,(재공고) 이집트 전자조달 개선사업 리모델링 공사 및 일반 기자재 업체 선정 현지입찰,물품,일반경쟁,2024-01-07,나혜일,True
231,L2023-00072,1,L2023-00072-1,이집트 전자조달 개선사업 리모델링 공사 및 일반 기자재 업체 선정 현지입찰,물품,일반경쟁,2023-12-03,나혜일,True
232,L2023-00071,1,L2023-00071-1,인도네시아 사이버보안 전문인력양성 역량강화 사업 설계 및 시공 감리 용역사 선정,용역,일반경쟁,2023-12-20,이지혜,True
233,L2023-00070,2,L2023-00070-2,볼리비아 라파스 주 임상병리검사실 체계 강화사업 현지 설계입찰,용역,일반경쟁,2023-11-03,양지영,True
234,L2023-00070,1,L2023-00070-1,볼리비아 라파스 주 임상병리검사실 체계 강화사업 현지 설계입찰,용역,일반경쟁,2023-09-14,양지영,True
235,L2023-00069,2,L2023-00069-2,라오스 여성폭력 예방·대응체계 및 정책역량 강화사업 GEVAW 센터 기자재 구매,물품,일반경쟁,2023-12-08,박혜린,False
236,L2023-00069,1,L2023-00069-1,라오스 여성폭력 예방·대응체계 및 정책역량 강화사업 GEVAW 센터 기자재 구매,물품,일반경쟁,2023-11-22,박혜린,False
237,L2023-00068,1,L2023-00068-1,캄보디아 앙두엉 안과전문병원 설립사업 리모델링 공사,공사,일반경쟁,2023-11-21,신정연,True
238,L2023-00067,1,L2023-00067-1,키르기스스탄 G-cloud 센터 인테리어 리모델링 시공 입찰,공사,일반경쟁,2023-11-21,표경주,True
239,L2023-00066,1,L2023-00066-1,에티오피아 아디스아바바 강변 개발 마스터플랜 수립지원 및 Sheger강 상류 수질 및 수변정화 사업 시범사업 기본/상세설계 및 감리 용역,용역,일반경쟁,2023-11-08,김선영,True
240,L2023-00065,1,L2023-00065-1,(긴급) 우즈베키스탄 유아 교육 복합센터 신축공사 시공감리 용역업체 선정,용역,일반경쟁,2023-11-10,이민정,True
241,L2023-00064,1,L2023-00064-1,라오스 여성폭력 예방·대응체계 및 정책역량 강화사업 GEVAW 센터 가구 구매 입찰,물품,일반경쟁,2023-11-07,박혜린,False
242,L2023-00063,1,L2023-00063-1,탄자니아 도도마주 보건의료정보체계(GoT-HoMIS) 확산사업 ICT 기자재 현지국제입찰,물품,일반경쟁,2023-11-02,허은,False
243,L2023-00062,1,L2023-00062-1,호치민의약학대학교 교육연구 역량강화사업 스튜디오 구축 기자재 공급,물품,일반경쟁,2023-10-30,이정헌,False
244,L2023-00061,1,L2023-00061-1,"에티오피아 가죽 및 가죽제품 강화 사업 신발 라스트 생산 공장 신축 및 보수 공사 설계, 감리 용역",용역,일반경쟁,2023-10-17,이신영,True
245,L2023-00060,1,L2023-00060-1,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 시공사 선정 입찰,공사,일반경쟁,2023-10-09,김강희,True
246,L2023-00059,1,L2023-00059-1,가나 관개지구 개선 물관리 역량강화사업 PBA 약정 회계감사 용역,용역,일반경쟁,2023-07-07,정보성,False
247,L2023-00058,1,L2023-00058-1,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 시공사 선정 입찰(재공고),공사,일반경쟁,2023-08-07,김강희,True
248,L2023-00057,1,L2023-00057-1,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 감리 용역 현지 입찰 (재공고),용역,일반경쟁,2023-09-08,김강희,True
249,L2023-00056,1,L2023-00056-1,세네갈 ISEPDD 메이커스페이스 및 카페테리아 리모델링 공사 계약,공사,일반경쟁,2023-09-12,유민구,True
250,L2023-00055,1,L2023-00055-1,(긴급)키르기즈공화국 유기농업 정책이행지원 및 역량강화사업 OPSC 미니랩 기자재 및 유기농자재 공급업체 선정 현지 입찰,물품,일반경쟁,2023-09-25,지윤근,False
251,L2023-00054,2,L2023-00054-2,(재공고) 필리핀 국립대학교 로스바뇨스(UPLB) 첨단농업연구센터 신축공사,공사,일반경쟁,2023-11-03,이휘은,True
252,L2023-00054,1,L2023-00054-1,필리핀 국립대학교 로스바뇨스(UPLB) 첨단농업연구센터 신축공사,공사,일반경쟁,2023-09-21,이휘은,True
253,L2023-00053,1,L2023-00053-1,우즈베키스탄 직업훈련원 및 타슈켄트 교사연수센터 건립 시공업체 선정 현지입찰,공사,일반경쟁,2023-07-17,성민경,True
254,L2023-00052,1,L2023-00052-1,우즈베키스탄 상공회의소 기술기반 창업촉진센터 역량강화사업 가구 기자재 현지입찰,물품,일반경쟁,2023-08-30,박설리,False
255,L2023-00051,1,L2023-00051-1,몽골 국립과학수사원 법과학 역량강화 사업 시공업체 선정,공사,조달위탁,2022-08-12,이강산,True
256,L2023-00050,1,L2023-00050-1,몽골 철도교통관제센터 건립 및 운영 역량강화사업을 통한 철도교통 경쟁력 강화사업 설계업체 선정,용역,조달위탁,2022-08-12,이강산,True
257,L2023-00049,1,L2023-00049-1,(재)(긴급)키르기스스탄 OPSC 리모델링공사 시공업체 선정 현지 입찰,공사,일반경쟁,2023-08-21,지윤근,True
258,L2023-00048,1,L2023-00048-1,몽골 대기환경 개선을 위한 에너지원 품질 관리 역량 강화사업 시공업체 선정,공사,조달위탁,2023-06-06,강종려,True
259,L2023-00047,1,L2023-00047-1,몽골 한몽기술대학교 역량강화사업 사후지원사업 시공업체 선정,공사,일반경쟁,2023-06-06,강종려,True
260,L2023-00046,1,L2023-00046-1,우간다 산업수요기반 직업기술훈련 역량강화사업 단기교육과정 실습재료 공급,물품,일반경쟁,2023-09-13,김기담,False
261,L2023-00045,1,L2023-00045-1,세네갈 ISEPDD 메이커스페이스 및 카페테리아 리모델링 공사 계약,공사,일반경쟁,2023-06-16,유민구,True
262,L2023-00044,1,L2023-00044-1,페루 스타트업 투자육성 프로그램 운영 용역 현지 입찰,용역,일반경쟁,2023-08-28,송병주,False
263,L2023-00043,1,L2023-00043-1,라오스 사바나켓주 경제특구 개발을 위한 지리공간정보 기반 구축 및 역량강화사업 기자재 구매 입찰,물품,일반경쟁,2023-08-21,김여진,False
264,L2023-00042,1,L2023-00042-1,방글라데시 안질환 예방 및 치료역량 강화사업 병원운영 안정성강화 지원,공사,일반경쟁,2023-08-08,김태현,True
265,L2023-00041,1,L2023-00041-1,신원등록관리청(NIMC) NIN(주민등록번호) 등록센터 기자재(안드로이드),물품,일반경쟁,2023-07-31,강민재,False
266,L2023-00040,1,L2023-00040-1,도미니카공화국 여성 중심 취약계층 사회경제적 역량강화사업 - 몬테크리스티 직업훈련센터 설계용역 입찰,용역,일반경쟁,2023-08-08,강현한,True
267,L2023-00039,1,L2023-00039-1,베트남 옌바이성 소수 민족학교 교육환경 개선 소규모 무상원조 기자재 납품용역 현지 입찰,물품,일반경쟁,2023-08-08,유수연,False
268,L2023-00038,1,L2023-00038-1,피지 국립재활센터 건립사업 설계 및 감리용역 현지입찰계획,용역,일반경쟁,2023-07-22,김우영,True
269,L2023-00037,1,L2023-00037-1,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 감리 용역 현지 입찰,용역,일반경쟁,2023-07-18,권율,True
270,L2023-00036,1,L2023-00036-1,우즈베키스탄 우르겐치 직업훈련원 건립 및 타슈켄트 교사연수센터 건립사업 시공업체선정 현지입찰,공사,일반경쟁,2023-07-17,성민경,True
271,L2023-00035,1,L2023-00035-1,(긴급) 키르기스스탄 OPSC 개보수 공사 시공업체 선정 현지 입찰,공사,일반경쟁,2023-07-07,지윤근,True
272,L2023-00034,1,L2023-00034-1,라오스 사바나켓주 특별경제구역 개발을 위한 지리공간정보 기반 구축 및 역량강화사업 기자재 구매,물품,일반경쟁,2023-07-10,이성민,False
273,L2023-00033,1,L2023-00033-1,엘살바도르 치안역량강화 3차사업 통합관제센터 기자재 구매,물품,일반경쟁,2023-07-06,권율,False
274,L2023-00032,1,L2023-00032-1,모잠비크 도로안전 시범개선사업 시공업체 선정 입찰,공사,일반경쟁,2023-06-30,우경욱,True
275,L2023-00031,2,L2023-00031-2,(재공고) 볼리비아 고원지역 농업기계화 및 농민 역량강화를 통한 생산성증대 지원사업 시공 용역 입찰,공사,일반경쟁,2023-07-05,이길석,True
276,L2023-00031,1,L2023-00031-1,(재입찰) 볼리비아 고원지역 농업기계화 및 농민 역량강화를 통한 생산성증대 지원사업 시공 용역 입찰,공사,일반경쟁,2023-05-25,이길석,True
277,L2023-00030,1,L2023-00030-1,피지 농업공존형 태양광 발전사업(GCF) 영농기술센터 및 농기자재 보관창고 신축 설계 및 감리용역,용역,일반경쟁,2023-06-08,방서연,True
278,L2023-00029,1,L2023-00029-1,파라과이 관세청 전자통관시스템 고도화 및 역량강화사업 모니터링룸 기자재 및 인테리어 공급업체 선정 국제경쟁입찰,물품,일반경쟁,2023-06-19,백조,False
279,L2023-00028,1,L2023-00028-1,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,용역,일반경쟁,2023-06-27,강수경,True
280,L2023-00027,1,L2023-00027-1,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 시공사 선정 입찰,공사,일반경쟁,2023-06-21,권율,True
281,L2023-00025,2,L2023-00025-2,우간다 지속가능 농촌개발 시범마을 확산사업 음피지 지역 옥수수 가공시설 설비기계 공급,물품,일반경쟁,2023-09-05,강수경,False
282,L2023-00025,1,L2023-00025-1,우간다 지속가능 농촌개발 시범마을 확산사업 음피지 지역 옥수수 가공시설 설비기계 공급,물품,일반경쟁,2023-06-15,강수경,False
283,L2023-00024,1,L2023-00024-1,키르기즈공화국 유기농업정책 이행지원 및 역량강화 사업 약초건조장 신축공사 시공업체 선정 현지입찰,공사,일반경쟁,2023-03-30,지윤근,True
284,L2023-00023,1,L2023-00023-1,키르기스스탄 사이버 안전센터 구축 사업 기자재 조달,물품,일반경쟁,2023-05-04,표경주,False
285,L2023-00022,1,L2023-00022-1,동티모르 농민참여형 가치사슬 개선사업 농업용 인프라 시공업체 선정,공사,일반경쟁,2023-05-04,김선미,True
286,L2023-00021,1,L2023-00021-1,파라과이 멀티미디어 교육지원센터 설립을 통한 교육접근성 향상사업(설계 용역 입찰),용역,일반경쟁,2023-02-06,김도은,True
287,L2023-00020,1,L2023-00020-1,에티오피아 인구 및 성생식 보건 증진 2차 사업(SHaPE2 Project) 미디어 캠페인 용역 계약,용역,일반경쟁,2023-04-15,김선영,False
288,L2023-00019,1,L2023-00019-1,(신규재입찰) 동티모르 농민참여형 가치사슬 개선사업 농업용 인프라 시공,공사,일반경쟁,2023-04-12,김선미,True
289,L2023-00018,1,L2023-00018-1,인도네시아 취약계층 청소년 사회복귀 지원사업 리모델링 시공업체 선정,공사,일반경쟁,2023-04-18,조정신,True
290,L2023-00017,1,L2023-00017-1,캄보디아 농촌종합개발을 통한 평화마을 조성사업  사업관리 차량구매,물품,일반경쟁,2023-04-21,신용화,False
291,L2023-00016,1,L2023-00016-1,피지 농업공존형 태양광 발전사업(GCF) 차량(픽업트럭) 공급업체 선정 현지 입찰계획,물품,일반경쟁,2023-04-14,방서연,False
292,L2023-00015,1,L2023-00015-1,볼리비아 고원지역 농업기계화 및 농민 역량강화를 통한 생산성증대 지원사업 감리 용역 입찰,용역,일반경쟁,2023-03-29,이길석,True
293,L2023-00014,1,L2023-00014-1,과테말라 수도권 교통개선 마스터플랜 수립사업 CCTV 기자재 구매,물품,일반경쟁,2023-03-17,동상진,False
294,L2023-00013,1,L2023-00013-1,에티오피아 인구 및 성생식 보건 증진 2차 사업(SHaPE2 Project) 미디어 캠페인을 위한 라디오 기기 조달 및 배포 용역 입찰,물품,일반경쟁,2023-04-01,김선영,False
295,L2023-00012,1,L2023-00012-1,볼리비아 고원지역 농업기계화 및 농민 역량강화를 통한 생산성증대 지원사업 시공 용역 입찰,공사,일반경쟁,2023-03-17,이길석,True
296,L2023-00011,1,L2023-00011-1,"우간다 주요 채소작물 종자 가치사슬 역량강화사업 Wakiso, Mukono 및 Luwero지역 온실, 토목 및 수도 건축공사",공사,일반경쟁,2023-03-28,조숭호,True
297,L2023-00010,1,L2023-00010-1,키르기스스탄 사이버 안전센터 구축 사업 기자재 조달,물품,일반경쟁,2023-03-15,표경주,False
298,L2023-00009,1,L2023-00009-1,우간다 지속가능 농촌개발 시범마을 확산사업 옥수수 가공시설 및 여성친화적 시장 건축 공사,공사,일반경쟁,2023-03-20,강수경,True
299,L2023-00008,1,L2023-00008-1,피지 농업공존형 태양광 발전사업(GCF) 차량(픽업트럭) 공급업체 선정 현지 입찰계획,물품,일반경쟁,2023-03-09,방서연,False
300,L2023-00007,1,L2023-00007-1,우즈베키스탄 우르겐치 직업훈련원 건립 및 타슈켄트 교사연수센터 건립사업 시공업체선정 현지입찰,공사,일반경쟁,2023-02-28,성민경,True
301,L2023-00006,1,L2023-00006-1,동티모르 농민참여형 가치사슬 개선사업 농업용 인프라 시공,공사,일반경쟁,2023-02-23,김선미,True
302,L2023-00005,1,L2023-00005-1,에티오피아 인구 및 성생식 보건 증진 2차 사업(SHaPE2 Project) 미디어 캠페인을 위한 라디오 기기 조달 및 배포 용역 입찰,물품,일반경쟁,2023-02-11,김선영,False
303,L2023-00004,1,L2023-00004-1,에티오피아 양질의 일자리 창출을 위한 ICT기반의 창업 및 중소기업(SME)육성 지원사업 ICT 센터 리모델링 공사,공사,일반경쟁,2023-02-10,이신영,True
304,L2023-00003,1,L2023-00003-1,우간다 지속가능 농촌개발 시범마을 확산사업 옥수수 가공시설 및 여성친화적 시장 건축 공사,공사,일반경쟁,2023-01-30,강수경,True
305,L2023-00002,1,L2023-00002-1,캄보디아 산학연계 비즈니스 인큐베이팅 체계구축사업 NICC 기자재(사무용기기) 공급,물품,일반경쟁,2023-01-26,김준수,False
306,L2023-00001,2,L2023-00001-2,캄보디아 산학연계 비즈니스 인큐베이팅 체계구축사업 NICC 기자재(가구) 공급,물품,일반경쟁,2023-02-14,김준수,False
307,L2023-00001,1,L2023-00001-1,캄보디아 산학연계 비즈니스 인큐베이팅 체계구축사업 NICC 기자재(가구) 공급,물품,일반경쟁,2023-01-26,김준수,False
308,L2022-00069,1,L2022-00069-1,파라과이 아순시온 국립대학 ICT 혁신센터 설립 현지 설계업체 선정 입찰,용역,일반경쟁,2022-09-29,백조,True
